Age,Attrition,BusinessTravel,DailyRate,Department,DistanceFromHome,Education,EducationField,EnvironmentSatisfaction,Gender,HourlyRate,JobInvolvement,JobLevel,JobRole,JobSatisfaction,MaritalStatus,MonthlyIncome,MonthlyRate,NumCompaniesWorked,OverTime,PercentSalaryHike,PerformanceRating,RelationshipSatisfaction,StockOptionLevel,TotalWorkingYears,TrainingTimesLastYear,WorkLifeBalance,YearsAtCompany,YearsInCurrentRole,YearsSinceLastPromotion,YearsWithCurrManager
44,no,travel_rarely,1459,research & development,10,master,other,very high,male,41,3,2,healthcare representative,4,married,6465.0,19121,2,yes,13,3,4,0,9,5,4,4,2,1,3
30,no,travel_rarely,125,research & development,9,college,medical,very high,male,83,2,1,laboratory technician,3,single,2206.0,16117,1,no,13,3,1,0,10,5,3,10,0,1,8
39,yes,travel_rarely,895,sales,5,bachelor,technical degree,very high,male,56,3,2,sales representative,4,married,2086.0,3335,3,no,14,3,3,1,19,5,4,1,0,0,0
24,yes,travel_rarely,813,research & development,1,bachelor,medical,medium,male,61,3,1,research scientist,4,married,2293.0,3020,2,yes,16,3,1,1,6,2,2,2,0,2,0
43,no,travel_rarely,1273,research & development,2,college,medical,very high,female,72,4,1,research scientist,3,divorced,2645.0,21923,1,no,12,3,4,2,6,3,2,5,3,1,4
50,yes,travel_rarely,869,sales,3,college,marketing,low,male,86,2,1,sales representative,3,married,2683.0,3810,1,yes,14,3,3,0,3,2,3,3,2,0,2
35,no,travel_rarely,890,sales,2,bachelor,marketing,very high,female,97,3,1,sales representative,4,married,2014.0,9687,1,no,13,3,1,0,2,3,3,2,2,2,2
36,no,travel_rarely,852,research & development,5,master,life sciences,medium,female,82,2,1,research scientist,1,married,3419.0,13072,7,yes,14,3,4,1,6,3,4,1,1,0,0
33,no,travel_frequently,1141,sales,1,bachelor,life sciences,high,female,42,4,2,sales executive,1,married,5376.0,3193,2,no,19,3,1,2,10,3,3,5,3,1,3
35,no,travel_rarely,464,research & development,4,college,other,high,male,75,3,1,laboratory technician,4,divorced,1951.0,10910,1,no,12,3,3,1,1,3,3,1,0,0,0
27,no,travel_rarely,1240,research & development,2,master,life sciences,very high,female,33,3,1,laboratory technician,1,divorced,2341.0,19715,1,no,13,3,4,1,1,5,3,1,0,0,0
26,yes,travel_rarely,1357,research & development,25,bachelor,life sciences,low,male,48,1,1,laboratory technician,3,single,2293.0,10558,1,no,12,3,3,0,1,2,2,1,0,0,1
27,no,travel_frequently,994,sales,8,bachelor,life sciences,very high,male,37,3,3,sales executive,3,single,8726.0,2975,1,no,15,3,4,0,9,2,3,9,8,1,7
30,no,travel_frequently,721,research & development,1,college,medical,high,female,58,3,2,laboratory technician,4,single,4011.0,10781,1,no,23,4,4,0,12,2,3,12,8,3,7
41,yes,travel_rarely,1360,research & development,12,bachelor,technical degree,medium,female,49,3,5,research director,3,married,13775.600000000008,16280,1,no,12,3,4,0,23,2,3,15,9,7,8
34,no,non-travel,1065,sales,23,master,marketing,medium,male,72,3,2,sales executive,3,single,4568.0,10034,0,no,20,4,3,0,10,2,3,9,5,7,7
37,no,travel_rarely,408,research & development,19,college,life sciences,medium,male,73,3,1,research scientist,2,married,3022.0,10227,4,no,21,4,1,0,8,1,3,1,0,0,0
46,no,travel_frequently,1211,sales,5,master,marketing,low,male,98,3,2,sales executive,4,single,5772.0,20445,4,yes,21,4,3,0,14,4,3,9,6,0,8
35,no,travel_rarely,1229,research & development,8,below college,life sciences,very high,male,36,4,1,laboratory technician,4,married,2269.0,4892,1,no,19,3,4,0,1,2,3,1,0,0,1
48,yes,travel_rarely,626,research & development,1,college,life sciences,low,male,98,2,3,laboratory technician,3,single,5381.0,19294,7,yes,13,3,4,0,23,2,3,1,0,0,0
28,yes,travel_rarely,1434,research & development,5,master,technical degree,high,male,50,3,1,laboratory technician,3,single,3441.0,11179,1,yes,13,3,3,0,2,3,2,2,2,2,2
44,no,travel_rarely,1488,sales,1,phd,marketing,medium,female,75,3,2,sales executive,1,divorced,5454.0,4009,5,yes,21,4,3,1,9,2,2,4,3,1,3
35,no,non-travel,1097,research & development,11,college,medical,high,male,79,2,3,healthcare representative,1,married,9884.0,8302,2,yes,13,3,3,1,10,3,3,4,0,2,3
26,no,travel_rarely,1443,sales,23,bachelor,marketing,high,female,47,2,2,sales executive,4,married,4157.0,21436,7,yes,19,3,3,1,5,2,2,2,2,0,0
33,no,travel_frequently,515,research & development,1,college,life sciences,low,female,98,3,3,research director,4,single,13458.0,15146,1,yes,12,3,3,0,15,1,3,15,14,7,12
35,no,travel_frequently,853,sales,18,phd,life sciences,medium,male,71,3,3,sales executive,1,married,9069.0,11031,1,no,22,4,4,1,9,3,2,9,8,1,8
35,no,travel_rarely,1142,research & development,23,master,medical,high,female,30,3,1,laboratory technician,1,married,4014.0,16002,3,yes,15,3,3,1,4,3,3,2,2,2,2
31,no,travel_rarely,655,research & development,7,master,life sciences,very high,male,48,3,2,laboratory technician,4,divorced,5915.0,9528,3,no,22,4,4,1,10,3,2,7,7,1,7
37,no,travel_rarely,1115,research & development,1,master,life sciences,low,male,51,2,2,manufacturing director,3,divorced,5993.0,2689,1,no,18,3,3,1,7,2,4,7,5,0,7
32,no,travel_rarely,427,research & development,1,bachelor,medical,low,male,33,3,2,manufacturing director,4,married,6162.0,10877,1,yes,22,4,2,1,9,3,3,9,8,7,8
38,no,travel_frequently,653,research & development,29,phd,life sciences,very high,female,50,3,2,laboratory technician,4,single,2406.0,5456,1,no,11,3,4,0,10,2,3,10,3,7,9
50,no,travel_rarely,989,research & development,7,college,medical,medium,female,43,2,5,research director,3,divorced,13775.600000000008,16701,5,yes,12,3,4,1,23,2,2,15,3,7,8
59,no,travel_rarely,1435,sales,25,bachelor,life sciences,low,female,99,3,3,sales executive,1,single,7637.0,2354,7,no,11,3,4,0,28,3,2,15,9,7,9
36,no,travel_rarely,1223,research & development,8,bachelor,technical degree,high,female,59,3,3,healthcare representative,3,divorced,10096.0,8202,1,no,13,3,2,2,17,2,3,17,14,7,8
55,no,travel_rarely,836,research & development,8,bachelor,medical,very high,female,33,3,4,manager,3,divorced,14756.0,19730,2,yes,14,3,3,2,21,2,3,5,0,0,2
36,no,travel_frequently,1195,research & development,11,bachelor,life sciences,medium,male,95,2,2,manufacturing director,2,single,6499.0,22656,1,no,13,3,3,0,6,3,3,6,5,0,3
45,no,travel_rarely,1339,research & development,7,bachelor,life sciences,medium,male,59,3,3,research scientist,1,divorced,9724.0,18787,2,no,17,3,3,1,25,2,3,1,0,0,0
35,no,travel_frequently,664,research & development,1,bachelor,medical,medium,male,79,3,1,research scientist,1,married,2194.0,5868,4,no,13,3,4,1,5,2,2,3,2,1,2
36,yes,travel_rarely,318,research & development,9,bachelor,medical,very high,male,79,2,1,research scientist,3,married,3388.0,21777,0,yes,17,3,1,1,2,2,2,1,0,0,0
59,no,travel_frequently,1225,sales,1,below college,life sciences,low,female,57,2,2,sales executive,3,single,5473.0,24668,7,no,11,3,4,0,20,2,2,4,3,1,3
29,no,travel_rarely,1328,research & development,2,bachelor,life sciences,high,male,76,3,1,research scientist,2,married,2703.0,4956,0,no,23,4,4,1,6,3,3,5,4,0,4
31,no,travel_rarely,1082,research & development,1,master,medical,high,male,87,3,1,research scientist,2,single,2501.0,18775,1,no,17,3,2,0,1,4,3,1,1,1,0
32,no,travel_rarely,548,research & development,1,bachelor,life sciences,medium,male,66,3,2,research scientist,2,married,6220.0,7346,1,no,17,3,2,2,10,3,3,10,4,0,9
36,no,travel_rarely,132,research & development,6,bachelor,life sciences,medium,female,55,4,1,laboratory technician,4,married,3038.0,22002,3,no,12,3,2,0,5,3,3,1,0,0,0
31,no,travel_rarely,746,research & development,8,master,life sciences,high,female,61,3,2,manufacturing director,4,single,4424.0,20682,1,no,23,4,4,0,11,2,3,11,7,1,8
35,no,travel_rarely,776,sales,1,master,marketing,high,male,32,2,2,sales executive,1,single,4312.0,23016,0,no,14,3,2,0,16,2,3,15,13,2,8
45,no,travel_rarely,193,research & development,6,master,other,very high,male,52,3,3,research director,1,married,13245.0,15067,4,yes,14,3,2,0,17,3,4,0,0,0,0
37,no,travel_rarely,397,research & development,7,master,medical,low,male,30,3,3,research director,3,single,13664.0,25258,4,no,13,3,1,0,16,3,4,5,2,0,2
46,no,travel_rarely,945,human resources,5,college,medical,medium,male,80,3,2,human resources,2,divorced,5021.0,10425,8,yes,22,4,4,1,16,2,3,4,2,0,2
30,no,travel_rarely,852,research & development,1,below college,life sciences,very high,male,55,2,2,laboratory technician,4,married,5126.0,15998,1,yes,12,3,3,2,10,1,2,10,8,3,0
35,no,travel_rarely,1214,research & development,1,bachelor,medical,medium,male,30,2,1,research scientist,3,single,2859.0,26278,1,no,18,3,1,0,6,3,3,6,4,0,4
55,no,travel_rarely,111,sales,1,college,life sciences,low,male,70,3,3,sales executive,4,married,10239.0,18092,3,no,14,3,4,1,24,4,3,1,0,1,0
38,no,non-travel,573,research & development,6,bachelor,medical,medium,female,79,1,2,research scientist,4,divorced,5329.0,15717,7,yes,12,3,4,2,17,3,3,13,11,1,9
34,no,travel_rarely,1153,research & development,1,college,medical,low,male,94,3,2,manufacturing director,2,married,4325.0,17736,1,no,15,3,3,0,5,2,3,5,2,1,3
56,no,travel_rarely,1400,research & development,7,bachelor,life sciences,very high,male,49,1,3,manufacturing director,4,single,7260.0,21698,4,no,11,3,1,0,23,3,2,6,4,0,2
23,no,travel_rarely,541,sales,2,below college,technical degree,high,male,62,3,1,sales representative,1,divorced,2322.0,9518,3,no,13,3,3,1,3,3,3,0,0,0,0
51,no,travel_rarely,432,research & development,9,master,life sciences,very high,male,96,3,1,laboratory technician,4,married,2075.0,18725,3,no,23,4,2,2,10,4,3,4,2,0,3
30,no,travel_rarely,288,research & development,2,bachelor,life sciences,high,male,99,2,2,healthcare representative,4,married,4152.0,15830,1,no,19,3,1,2,11,3,3,11,10,7,8
46,yes,travel_rarely,669,sales,9,college,medical,high,male,64,2,3,sales executive,4,single,9619.0,13596,1,no,16,3,4,0,9,3,3,9,8,4,7
40,no,travel_frequently,530,research & development,1,master,life sciences,high,male,78,2,4,healthcare representative,2,married,13503.0,14115,1,no,22,4,4,1,22,3,2,15,3,7,11
51,no,travel_rarely,632,sales,21,master,marketing,high,male,71,3,2,sales executive,4,single,5441.0,8423,0,yes,22,4,4,0,11,2,1,10,7,1,0
30,no,travel_rarely,1334,sales,4,college,medical,high,female,63,2,2,sales executive,2,divorced,5209.0,19760,1,yes,12,3,2,2,11,4,2,11,8,2,7
46,no,travel_frequently,638,research & development,1,bachelor,medical,high,male,40,2,3,healthcare representative,1,married,10673.0,3142,2,yes,13,3,3,1,21,5,2,10,9,7,5
32,no,travel_rarely,1093,sales,6,master,medical,medium,male,87,3,2,sales executive,3,single,5010.0,24301,1,no,16,3,1,0,12,2,3,11,8,5,7
54,no,travel_rarely,1217,research & development,2,master,technical degree,low,female,60,3,3,research director,3,married,13549.0,24001,7,no,12,3,1,1,16,5,1,4,3,0,3
24,no,travel_rarely,1353,sales,3,college,other,low,female,33,3,2,sales executive,3,married,4999.0,17519,0,no,21,4,1,1,4,2,2,3,2,0,2
28,no,non-travel,120,sales,4,bachelor,medical,medium,male,43,3,2,sales executive,3,married,4221.0,8863,1,no,15,3,2,0,5,3,4,5,4,0,4
58,no,travel_rarely,682,sales,10,master,medical,very high,male,37,3,4,sales executive,3,single,13872.0,24409,0,no,13,3,3,0,23,1,2,15,10,1,8
44,no,non-travel,489,research & development,23,bachelor,medical,medium,male,67,3,2,laboratory technician,2,married,2042.0,25043,4,no,12,3,3,1,17,3,4,3,2,1,2
37,yes,travel_rarely,807,human resources,6,master,human resources,high,male,63,3,1,human resources,1,divorced,2073.0,23648,4,yes,22,4,4,0,7,3,3,3,2,0,2
32,no,travel_rarely,827,research & development,1,below college,life sciences,very high,male,71,3,1,research scientist,1,single,2956.0,15178,1,no,13,3,4,0,1,2,3,1,0,0,0
20,yes,travel_frequently,871,research & development,6,bachelor,life sciences,very high,female,66,2,1,laboratory technician,4,single,2926.0,19783,1,yes,18,3,2,0,1,5,3,1,0,1,0
34,no,travel_rarely,665,research & development,6,master,other,low,female,41,3,2,research scientist,3,single,4809.0,12482,1,no,14,3,3,0,16,3,3,16,13,2,10
37,no,non-travel,1040,research & development,2,college,life sciences,high,male,100,2,2,healthcare representative,4,divorced,5163.0,15850,5,no,14,3,4,1,17,2,4,1,0,0,0
59,no,non-travel,1420,human resources,2,master,human resources,high,female,32,2,5,manager,4,married,13775.600000000008,21922,7,no,21,4,4,1,23,3,3,3,2,2,2
50,no,travel_frequently,1115,research & development,1,bachelor,life sciences,low,female,73,3,5,research director,2,married,13775.600000000008,9755,3,yes,19,3,1,0,28,1,2,8,3,0,7
25,yes,travel_rarely,240,sales,5,bachelor,marketing,high,male,46,2,2,sales executive,3,single,5744.0,26959,1,yes,11,3,4,0,6,1,3,6,4,0,3
25,no,travel_rarely,1280,research & development,7,below college,medical,very high,male,64,2,1,research scientist,4,married,2889.0,26897,1,no,11,3,3,2,2,2,3,2,2,2,1
22,no,travel_rarely,534,research & development,15,bachelor,medical,medium,female,59,3,1,laboratory technician,4,single,2871.0,23785,1,no,15,3,3,0,1,5,3,0,0,0,0
51,no,travel_frequently,1456,research & development,1,master,medical,low,female,30,2,3,healthcare representative,1,single,7484.0,25796,3,no,20,4,3,0,23,1,2,13,12,7,8
34,yes,travel_frequently,658,research & development,7,bachelor,life sciences,low,male,66,1,2,laboratory technician,3,single,6074.0,22887,1,yes,24,4,4,0,9,3,3,9,7,0,6
54,no,non-travel,142,human resources,26,bachelor,human resources,very high,female,30,4,4,manager,4,single,13775.600000000008,13871,2,yes,12,3,3,0,23,3,3,5,3,4,4
24,no,travel_rarely,1127,research & development,18,below college,life sciences,medium,male,52,3,1,laboratory technician,3,married,2774.0,13257,0,no,12,3,3,1,6,2,3,5,3,1,2
34,no,travel_rarely,1031,research & development,6,master,life sciences,high,female,45,2,2,research scientist,2,divorced,4505.0,15000,6,no,15,3,3,1,12,3,3,1,0,0,0
37,no,travel_rarely,1189,sales,3,bachelor,life sciences,high,male,87,3,3,sales executive,4,single,7428.0,14506,2,no,12,3,1,0,12,3,3,5,3,1,3
34,no,travel_rarely,1354,research & development,5,bachelor,medical,high,female,45,2,3,manager,1,single,11631.0,5615,2,no,12,3,4,0,14,5,3,11,10,5,8
36,no,travel_frequently,1467,sales,11,college,technical degree,medium,female,92,3,3,sales executive,4,married,9738.0,22952,0,no,14,3,3,1,10,5,3,9,7,2,8
36,no,travel_rarely,922,research & development,3,college,life sciences,low,female,39,3,1,laboratory technician,4,divorced,2835.0,2561,5,no,22,4,1,1,7,2,3,1,0,0,0
43,no,travel_frequently,394,sales,26,college,life sciences,high,male,92,3,4,manager,4,married,13775.600000000008,19494,1,yes,12,3,4,2,25,3,4,15,12,4,12
30,no,travel_frequently,1312,research & development,23,bachelor,life sciences,low,male,96,1,1,research scientist,3,divorced,2613.0,22310,1,no,25,4,3,2,10,2,2,10,7,0,9
33,no,non-travel,750,sales,22,college,marketing,high,male,95,3,2,sales executive,2,married,6146.0,15480,0,no,13,3,1,1,8,2,4,7,7,0,7
56,yes,travel_rarely,441,research & development,14,master,life sciences,medium,female,72,3,1,research scientist,2,married,4963.0,4510,7,yes,18,3,1,2,7,2,3,5,4,4,3
51,no,travel_rarely,684,research & development,6,bachelor,life sciences,low,male,51,3,5,research director,3,single,13775.600000000008,6462,7,no,13,3,3,0,23,5,3,15,9,7,9
31,yes,travel_rarely,249,sales,6,master,life sciences,medium,male,76,1,2,sales executive,3,married,6172.0,20739,4,yes,18,3,2,0,12,3,2,7,7,7,7
26,no,travel_rarely,841,research & development,6,bachelor,other,high,female,46,2,1,research scientist,2,married,2368.0,23300,1,no,19,3,3,0,5,3,2,5,4,4,3
58,yes,travel_rarely,147,research & development,23,master,medical,very high,female,94,3,3,healthcare representative,4,married,10312.0,3465,1,no,12,3,4,1,23,3,2,15,10,7,6
19,yes,travel_rarely,528,sales,22,below college,marketing,very high,male,50,3,1,sales representative,3,single,1675.0,26820,1,yes,19,3,4,0,0,2,2,0,0,0,0
22,no,travel_rarely,594,research & development,2,below college,technical degree,high,male,100,3,1,laboratory technician,4,married,2523.0,19299,0,no,14,3,3,1,3,2,3,2,1,2,1
49,no,travel_rarely,470,research & development,20,master,medical,high,female,96,3,2,manufacturing director,1,married,6567.0,5549,1,no,14,3,3,0,16,2,2,15,11,5,11
43,no,travel_frequently,957,research & development,28,bachelor,medical,medium,female,72,4,1,research scientist,3,single,4739.0,16090,4,no,12,3,4,0,18,2,3,3,2,1,2
50,no,travel_frequently,809,sales,12,bachelor,marketing,high,female,77,3,3,sales executive,4,single,9208.0,6645,4,no,11,3,4,0,16,3,3,2,2,2,1
31,yes,travel_rarely,542,sales,20,bachelor,life sciences,medium,female,71,1,2,sales executive,3,married,4559.0,24788,3,yes,11,3,3,1,4,2,3,2,2,2,2
41,no,travel_rarely,802,sales,9,below college,life sciences,high,male,96,3,3,sales executive,3,divorced,8189.0,21196,3,yes,13,3,3,1,12,2,3,9,7,0,7
26,no,travel_rarely,1355,human resources,25,below college,life sciences,high,female,61,3,1,human resources,3,married,2942.0,8916,1,no,23,4,4,1,8,3,3,8,7,5,7
36,no,travel_rarely,216,research & development,6,college,medical,medium,male,84,3,2,manufacturing director,2,divorced,4941.0,2819,6,no,20,4,4,2,7,2,3,3,2,0,1
51,yes,travel_frequently,1150,research & development,8,master,life sciences,low,male,53,1,3,manufacturing director,4,single,10650.0,25150,2,no,15,3,4,0,18,2,3,4,2,0,3
39,no,travel_rarely,1329,sales,4,master,life sciences,very high,female,47,2,2,sales executive,3,married,5902.0,14590,4,no,14,3,3,1,17,1,4,15,11,5,9
25,no,travel_rarely,959,sales,28,bachelor,life sciences,low,male,41,2,2,sales executive,3,married,8639.0,24835,2,no,18,3,4,0,6,3,3,2,2,2,2
30,no,travel_rarely,1240,human resources,9,bachelor,human resources,high,male,48,3,2,human resources,4,married,6347.0,13982,0,yes,19,3,4,0,12,2,1,11,9,4,7
32,yes,travel_rarely,1033,research & development,9,bachelor,medical,low,female,41,3,1,laboratory technician,1,single,4200.0,10224,7,no,22,4,1,0,10,2,4,5,4,0,4
45,no,travel_rarely,1316,research & development,29,bachelor,medical,high,male,83,3,1,research scientist,4,single,3452.0,9752,5,no,13,3,2,0,9,2,2,6,5,0,3
38,no,travel_rarely,364,research & development,3,phd,technical degree,very high,female,32,3,2,research scientist,3,single,4317.0,2302,3,yes,20,4,2,0,19,2,3,3,2,2,2
30,no,travel_rarely,438,research & development,18,bachelor,life sciences,low,female,75,3,1,research scientist,3,single,2632.0,23910,1,no,14,3,3,0,5,4,2,5,4,0,4
32,no,travel_frequently,689,sales,9,college,medical,very high,male,35,1,2,sales executive,4,divorced,4668.0,22812,0,no,17,3,4,2,9,2,4,8,7,0,7
30,no,travel_rarely,201,research & development,5,bachelor,technical degree,very high,female,84,3,1,research scientist,1,divorced,3204.0,10415,5,no,14,3,4,1,8,3,3,3,2,2,2
30,no,travel_rarely,1427,research & development,2,below college,medical,medium,male,35,2,1,laboratory technician,4,single,2720.0,11162,0,no,13,3,4,0,6,3,3,5,3,1,2
41,no,travel_frequently,857,research & development,10,bachelor,life sciences,very high,male,91,2,4,manager,1,divorced,13775.600000000008,12888,4,no,13,3,2,1,21,2,2,7,6,7,7
41,no,travel_rarely,933,research & development,9,master,life sciences,high,male,94,3,1,laboratory technician,1,married,2238.0,6961,2,no,21,4,4,1,7,2,3,5,0,1,4
19,no,travel_rarely,1181,research & development,3,below college,medical,medium,female,79,3,1,laboratory technician,2,single,1483.0,16102,1,no,14,3,4,0,1,3,3,1,0,0,0
40,no,travel_frequently,1395,research & development,26,bachelor,medical,medium,female,54,3,2,research scientist,2,divorced,5605.0,8504,1,no,11,3,1,1,20,2,3,15,7,2,13
35,no,travel_rarely,662,sales,1,phd,marketing,high,male,94,3,3,sales executive,2,married,7295.0,11439,1,no,13,3,1,2,10,3,3,10,8,0,6
53,no,travel_rarely,1436,sales,6,college,marketing,medium,male,34,3,2,sales representative,3,married,2306.0,16047,2,yes,20,4,4,1,13,3,1,7,7,4,5
45,no,travel_rarely,194,research & development,9,bachelor,life sciences,medium,male,60,3,2,laboratory technician,2,divorced,2348.0,10901,8,no,18,3,3,1,20,2,1,17,9,0,9
32,no,travel_frequently,967,sales,8,bachelor,marketing,medium,female,43,3,3,sales executive,4,single,8998.0,15589,1,no,14,3,4,0,9,2,3,9,8,3,7
29,no,non-travel,1496,research & development,1,below college,technical degree,very high,male,41,3,2,manufacturing director,3,married,4319.0,26283,1,no,13,3,1,1,10,1,3,10,7,0,9
51,no,travel_rarely,1169,research & development,7,master,medical,medium,male,34,2,2,manufacturing director,3,married,6132.0,13983,2,no,17,3,3,0,10,2,3,1,0,0,0
58,no,travel_rarely,1145,research & development,9,bachelor,medical,medium,female,75,2,1,research scientist,2,married,3346.0,11873,4,yes,20,4,2,1,9,3,2,1,0,0,0
40,no,travel_rarely,630,sales,4,master,marketing,high,male,67,2,3,sales executive,4,married,10855.0,8552,7,no,11,3,1,1,15,2,2,12,11,2,11
34,no,travel_frequently,303,sales,2,master,marketing,high,female,75,3,1,sales representative,3,married,2231.0,11314,6,no,18,3,4,1,6,3,3,4,3,1,2
22,no,travel_rarely,1256,research & development,19,below college,medical,high,male,80,3,1,research scientist,4,married,2323.0,11992,1,no,24,4,1,2,2,5,3,2,2,2,2
27,no,non-travel,691,research & development,9,bachelor,medical,very high,male,57,3,1,research scientist,2,divorced,2024.0,5970,6,no,18,3,4,1,6,1,1,2,2,2,2
28,no,travel_rarely,440,research & development,21,bachelor,medical,high,male,42,3,1,research scientist,4,married,2713.0,6672,1,no,11,3,3,1,5,2,1,5,2,0,2
57,no,travel_rarely,334,research & development,24,college,life sciences,high,male,83,4,3,healthcare representative,4,divorced,9439.0,23402,3,yes,16,3,2,1,12,2,1,5,3,1,4
27,no,non-travel,1450,research & development,3,bachelor,medical,high,male,79,2,1,research scientist,3,divorced,2566.0,25326,1,yes,15,3,4,1,1,2,2,1,1,0,1
